track_name,artist_name,played_at
Poet,Sarah Nathalié,2025-02-08T21:51:21.277Z
This Girl,Lauren Daigle,2025-02-09T05:32:32.665Z
Testament Of Love,Ugee Royalty,2025-02-09T11:58:02.152Z
Dry Bones,Abbey Ojomu,2025-02-09T12:11:00.800Z
Deep Intimate Worship,Yinka Okeleye,2025-02-09T12:35:46.991Z
Favour,Lawrence Oyor,2025-02-09T12:41:57.498Z
Eagles Flight - Chant Version,Lawrence Oyor,2025-02-09T12:50:26.146Z
Shekinah,Pastor Emmanuel Iren,2025-02-09T12:57:26.596Z
O Ti Mu Wa Ye - Live,EmmaOMG,2025-02-09T13:05:44.770Z
My Worship,Phil Thompson,2025-02-09T13:12:02.548Z
Broken (Acoustic),kaestrings,2025-02-09T13:16:05.722Z
No One,Elevation Worship,2025-02-09T13:26:25.176Z
Omo'ba,Pelumi Deborah,2025-02-09T13:35:35.012Z
Maisha Yangu (B'Ola) (Live),Sunmisola Agbebi,2025-02-09T13:39:48.995Z
We Raise A Sound,Nosa,2025-02-09T13:47:01.680Z
Alone,Anendlessocean,2025-02-09T13:49:45.484Z
Adonai,Nathaniel Bassey,2025-02-09T13:58:17.174Z
Ore Ofe Sha (Live),Rotimikeys,2025-02-09T14:04:42.804Z
Favour - Raw Version,Lawrence Oyor,2025-02-09T14:07:18.917Z
Promises - Instrumental,Worship Together,2025-02-09T21:00:30.333Z
Clean Heart,Bryan & Katie Torwalt,2025-02-10T03:53:55.709Z
Jesus Christ is seen,Ebuka Songs,2025-02-10T03:56:59.529Z
Evidence (feat. Naomi Raine),ReFRESH Worship,2025-02-10T04:06:01.826Z
SUNRISE,Forrest Frank,2025-02-10T09:08:14.471Z
Heaven's Eyes,Jillian Edwards,2025-02-10T09:20:02.652Z
God Is,Kanye West,2025-02-10T09:23:26.269Z
Lmly,Anendlessocean,2025-02-10T09:26:54.826Z
Nothing Else,Gatton,2025-02-10T09:32:26.383Z
Come Thou Font,Forrest Frank,2025-02-10T09:35:47.955Z
Blessings,Laura Story,2025-02-10T09:47:11.289Z
Talking to the Moon // Yeshua (Christian Rewrite),Josh Thomas,2025-02-10T09:48:14.889Z
Amen,RANI,2025-02-10T09:56:07.073Z
Fix You - Slow Relaxing Piano Version,Robert R,2025-02-10T09:57:03.818Z
Flowers,Samantha Ebert,2025-02-10T09:59:59.973Z
Faded Dreams,Madison Ryann Ward,2025-02-10T10:02:02.747Z
Lmly,Anendlessocean,2025-02-10T10:11:19.760Z
Broken (Acoustic),kaestrings,2025-02-10T10:15:22.829Z
My Strength,Madison Ryann Ward,2025-02-10T10:19:16.766Z
Cloud 9 (Full Christian Rewrite),Josh Thomas,2025-02-10T10:21:57.062Z
Higher,Madison Ryann Ward,2025-02-10T10:25:01.883Z
God Given Dreams,Lord's Child,2025-02-10T10:27:54.463Z
Wait on You,Hillside Recording,2025-02-10T10:31:19.757Z
Gratitude (Acoustic),Hillside Recording,2025-02-10T12:46:46.550Z
Testament Of Love,Ugee Royalty,2025-02-10T12:53:21.056Z
Testament Of Love,Ugee Royalty,2025-02-10T12:59:43.699Z
What Can Wash Away? (After Hours),sxxnt.,2025-02-10T13:23:03.433Z
Psalm 96 (Intro),Forrest Frank,2025-02-10T13:27:43.832Z
Yaweh,Kimberly and Alberto Rivera,2025-02-10T13:35:34.425Z
Amazing Grace (My Chains Are Gone),The O'Neill Brothers Group,2025-02-10T13:38:35.459Z
